Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted?,Average,Year 1,Year 2,Year 3,Total Yards from Scrimmage
71,213,4.54,34.5,14,120,7.11,4.32,1,448.00,217,735,392,1642
69,204,4.57,32,23,114,7.05,4.2,1,414.67,61,466,717,4556
75,232,4.65,35,18,121,6.92,4.24,0,0.00,0,0,0,0
68,185,4.56,37,10,115,7.17,4.32,1,758.00,606,845,823,4908
73,195,4.5,30.5,4,117,6.8,4.08,1,39.67,0,111,8,163
71,239,4.63,30,18,109,6.93,4.31,0,0.00,0,0,0,0
72,221,4.53,35.5,11,121,6.96,4.28,1,585.67,867,49,841,2108
72,221,4.57,39,19,121,7.1,4.1,1,910.33,277,1423,1031,2965
75,219,4.42,37.5,20,123,6.64,3.98,1,75.33,16,79,131,238
75,204,4.47,35.5,10,132,6.7,4.09,1,7.00,18,3,0,21
69,209,4.41,40.5,32,132,6.83,4.12,1,637.00,673,444,794,4698
74,226,4.6,35,16,125,6.87,4.12,0,0.00,0,0,0,0
71,220,4.84,36,14,118,7.53,4.6,0,0.00,0,0,0,0
74,211,4.43,38,15,129,7.24,4.41,0,0.00,0,0,0,0
75,207,4.6,38,21,120,6.56,4.04,1,5.00,15,0,0,15
71,210,4.41,35,14,125,7.19,4.19,1,0.00,0,0,0,0
72,217,4.62,40,15,125,7.15,4.25,0,7.00,21,0,0,21
75,212,4.46,35.5,21,120,6.95,4.18,1,891.00,872,997,804,3288
74,202,4.5,41,14,131,6.84,4.08,1,362.00,66,488,532,1086
73,191,4.64,32,13,108,7.15,4.36,0,0.00,0,0,0,0
75,208,4.4,30.5,10,121,7.05,4.19,1,25.67,65,12,0,77
70,178,4.69,35,11,117,7.1,4.33,0,0.00,0,0,0,0
70,192,4.56,36.5,11,114,6.63,4.21,1,206.00,194,203,221,946
72,199,4.52,38.5,13,122,6.81,4.07,1,335.33,341,222,443,1819
69,207,4.69,32.5,19,115,7.08,4.38,1,191.33,215,178,181,574
70,195,4.51,33,10,113,6.97,4.26,1,37.33,0,0,112,112
73,228,4.46,33.5,15,122,6.91,4.35,1,304.67,247,198,469,958
73,206,4.52,33.5,24,118,7.16,4.57,0,0.00,0,0,0,0
73,230,4.48,33.5,16,117,7.16,4.46,1,204.33,613,0,0,613
69,192,4.55,32.5,11,119,7.23,4.43,0,0.00,0,0,0,0
70,181,4.43,34.5,14,113,6.93,4.15,1,318.33,287,268,400,980
77,240,4.61,32.5,13,119,7.33,4.39,1,880.33,1008,941,692,3021
73,203,4.68,34,9,125,6.73,4.21,0,367.33,257,487,358,3577
70,215,4.56,37.5,18,121,6.97,4.28,1,309.33,544,0,384,928
73,197,4.42,41.5,7,129,6.66,4.15,1,0.00,0,0,0,0
76,218,4.5,35.5,18,120,7,4.15,1,915.67,486,1071,1190,3687
73,210,4.45,34.5,10,123,7.04,4.21,1,706.67,225,883,1012,5521
68,185,4.44,32.5,8,120,7.17,4.37,0,0.00,0,0,0,0
74,198,4.48,33,8,121,6.68,4.32,1,34.00,102,0,0,102
75,215,4.35,36.5,23,123,6.92,4.14,1,67.33,0,196,6,406
75,220,4.53,36.5,14,128,7.3,4.33,0,0.00,0,0,0,0
